queue-config-validation-calendar-表单校验-全空提交被拦截 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
queue-config-validation-queue-表单校验-maxRunningJobs-数字框拒收字母 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
queue-config-validation-queue-表单校验-queueCode-超过-128-字符被截断或报错 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
queue-config-validation-queue-表单校验-全空提交被拦截 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
queue-config-validation-queue-表单校验-取消后再开-表单-reset | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
queue-config-validation-window-表单校验-windowCode-超长被截断 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
queue-config-validation-window-表单校验-全空提交被拦截 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
quota-policy-crud-quota-policy-CRUD-配额策略-新增配额策略对话框可打开-验证字段 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').filter({ hasText: '新增配额策略' }).getByText('策略编码', { exact: true })|
quota-policy-validation-qu-e48e2-unningJobsPerTenant-数字框拒收字母 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
quota-policy-validation-quota-policy-表单校验-policyCode-超长被截断 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
quota-policy-validation-quota-policy-表单校验-全空提交被拦截 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
quota-policy-validation-quota-policy-表单校验-取消后-reset | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
rbac-denial-RBAC-拒绝行为-auth-me-401-→-清-token-跳登录-session-真过期- | NETWORK-ONLY: [401] GET http://localhost:5173/api/console/auth/me
rbac-denial-RBAC-拒绝行为-业务-401-refresh-失败-→-不踢登录-只-toast | NETWORK-ONLY: [401] GET http://localhost:5173/api/console/ops/triggers?tenantId=ta
self-service-forms-self-se-30591--自助服务表单-配额与用量-tab-展示当前配额和用量 | Error: expect(locator).toHaveClass(expected) failed|Locator: locator('.service-entry').filter({ hasText: '配额与用量' }).first()|
self-service-forms-self-service-forms-自助服务表单-补偿申请表单可填写 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
self-service-forms-self-service-forms-自助服务表单-配额变更表单可填写并提交 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
self-service-forms-self-service-forms-自助服务表单-重跑申请表单可填写 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
self-service-self-service-panel-自助服务-自助服务页面可打开并展示-4-个标签页 | Error: expect(locator).toBeVisible() failed|Locator: locator('.service-entry').filter({ hasText: '配额与用量' }).first()|
self-service-self-service-panel-自助服务-补偿申请标签展示表单 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
self-service-self-service-panel-自助服务-配额与用量标签展示刷新按钮与数据面板 | Error: expect(locator).toHaveClass(expected) failed|Locator: locator('.service-entry').filter({ hasText: '配额与用量' }).first()|
self-service-self-service-panel-自助服务-配额变更标签展示表单 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
self-service-self-service-panel-自助服务-重跑申请标签展示表单 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
smoke--cross-browser-smoke-c2028-E-页面可达-observability-alerts | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
smoke--cross-browser-smoke-da03b--MODE-页面可达-governance-quota | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
soak-soak-·-长会话稳定性-dialog-反复开关-50-次不残留-DOM-节点 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
tag-management-crud-tag-management-标签管理-按标签搜索-tab-可执行搜索 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
tag-ops-标签管理-—-按标签搜索-Tag-Key-Tag-Value-联合搜索 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
tag-ops-标签管理-—-按标签搜索-Tag-Key-搜索 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
tag-ops-标签管理-—-按标签搜索-搜索结果刷新 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
tag-resource-crud-tag-resource-CRUD-按标签搜索-tab-可切换 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
tenant-config-ops-tenant-b-0c159-t-批量建租户-配置初始化-选择源租户后初始化模式显示 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
tenant-config-ops-tenant-c-12ba2-g-跨租户复制配置-复制配置对话框可打开并展示完整表单 | Error: expect(locator).toBeVisible() failed|Locator: getByText('试运行').first()|
tenant-ops-租户管理-—-初始化配置（试运行）-初始化配置-→-选类型-→-试运行-→-结果展示 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
tenant-ops-租户管理-—-复制配置（试运行）-复制配置-→-选类型-→-试运行-→-结果展示 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
tenant-ops-租户管理-—-新建租户-新建租户-→-填写-→-提交-→-toast | NETWORK-ONLY: [409] POST http://localhost:5173/api/console/tenants
upload-full-chain-upload-f-195b3-Excel-导入-上传失败时不前进步骤-BE-500- | NETWORK-ONLY: [500] POST http://localhost:5173/api/console/config/tenant-package/excel/upload?tenantId=ta
user-account-ops-用户账户-—-编辑对话框-修改显示名并保存-→-toast | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog')|
user-account-ops-用户账户-—-编辑对话框-取消关闭对话框 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog')|
user-account-ops-用户账户-—-编辑对话框-点击编辑弹出对话框并展示用户名（只读） | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog')|
worker-ops-Worker-管理-—-Worker-操作-Drain-→-确认-→-toast | NETWORK-ONLY: [409] POST http://localhost:5173/api/console/workers/worker-ta-export-001/drain
worker-ops-Worker-管理-—-Worker-操作-接管-→-确认-→-toast | NETWORK-ONLY: [409] POST http://localhost:5173/api/console/workers/worker-ta-export-001/takeover
worker-ops-Worker-管理-—-Worker-操作-预热-→-toast（无确认弹窗） | NETWORK-ONLY: [409] POST http://localhost:5173/api/console/workers/worker-ta-export-001/warmup?tenantId=ta
